img,cat
n01635027_2137,animal
n12915568_11928,nonanimal
n02304432_2648,animal
n09269472_4029,nonanimal
n02120079_1093,animal
n09415584_15838,nonanimal
n11664418_13079,nonanimal
n02445171_1244,animal
n01701859_9544,animal
n02123242_6913,animal
n02004855_1630,animal
n02383231_2983,animal
n12633638_4875,nonanimal
n12637123_7852,nonanimal
n01671125_19,animal
n02367492_4069,animal
n12328567_2955,nonanimal
n11713370_670,nonanimal
n01851895_2998,animal
n12695144_12383,nonanimal
n11841247_2663,nonanimal
n02276749_1384,animal
n12684379_3471,nonanimal
n02517442_13227,animal
n02281267_751,animal
n01959492_1222,animal
n12230794_12545,nonanimal
n02212062_2900,animal
n12295033_1962,nonanimal
n12597134_2508,nonanimal
n12708654_6942,nonanimal
n11728099_17701,nonanimal
n12081215_4669,nonanimal
n11841247_537,nonanimal
n02009508_4924,animal
n12342852_7585,nonanimal
n12077944_1490,nonanimal
n01540233_2526,animal
n02297819_2034,animal
n02569905_339,animal
n12269241_2756,nonanimal
n12437513_11658,nonanimal
n12293723_9878,nonanimal
n11830906_643,nonanimal
n12848499_2411,nonanimal
n13108841_13341,nonanimal
