img,cat
n02910145_1478,nonanimal
n02569905_1684,animal
n02134418_5435,animal
n02109047_3283,animal
n01532829_7907,animal
n02023992_6487,animal
n04613696_7475,nonanimal
n12575812_5175,nonanimal
n02933990_3911,nonanimal
n01774097_110,animal
n02396088_13405,animal
n01972131_3105,animal
n12655726_418,nonanimal
n12858618_3374,nonanimal
n02357911_643,animal
n11662585_1048,nonanimal
n11744011_162,nonanimal
n11765568_3420,nonanimal
n12230794_3354,nonanimal
n02402010_11572,animal
n11701302_5446,nonanimal
n02454794_2498,animal
n02842809_4323,nonanimal
n02429456_4674,animal
n02389261_1095,animal
n03710079_7312,nonanimal
n02146371_927,animal
n03952576_11929,nonanimal
n03899933_2546,nonanimal
n03566193_15187,nonanimal
n01884834_744,animal
n11861853_9370,nonanimal
n02117512_2315,animal
n12681376_1084,nonanimal
n11815721_3450,nonanimal
n02216740_4910,animal
n01872401_5470,animal
n02448318_958,animal
n03194297_1572,nonanimal
n02338722_2622,animal
n03758992_4837,nonanimal
n13148384_14745,nonanimal
n01623615_3207,animal
n03916289_4301,nonanimal
n02936402_5227,nonanimal
n02034971_2698,animal
n02162561_3137,animal
n02492660_11002,animal
n02282553_3716,animal
