img,cat
n02485225_599,animal
n02603540_4648,animal
n02066245_13219,animal
n11812094_687,nonanimal
n11610437_5009,nonanimal
n12822115_14984,nonanimal
n03421768_2098,nonanimal
n01587278_481,animal
n02119789_7591,animal
n02085118_3560,animal
n02124484_8818,animal
n02281015_385,animal
n12591017_5903,nonanimal
n12730143_602,nonanimal
n12743009_4187,nonanimal
n01560280_1108,animal
n02461128_2383,animal
n04020912_15445,nonanimal
n03121298_3083,nonanimal
n02494383_871,animal
n02492035_4900,animal
n03933933_20353,nonanimal
n09231117_893,nonanimal
n02338145_9960,animal
n03995265_1194,nonanimal
n02302969_5116,animal
n12726670_9947,nonanimal
n12270278_1439,nonanimal
n01882714_15393,animal
n02174659_17370,animal
n01564101_429,animal
n12412987_4453,nonanimal
n12031388_353,nonanimal
n02486908_4113,animal
n04204347_3921,nonanimal
n09308743_8770,nonanimal
n02879309_7200,nonanimal
n13179056_585,nonanimal
n12514138_4697,nonanimal
n04480141_158,nonanimal
n12304703_15956,nonanimal
n02508346_105,animal
n01790304_714,animal
n02483362_8690,animal
n12545635_15456,nonanimal
n02575325_3104,animal
n07755929_15233,nonanimal
n04613158_18380,nonanimal
n01608814_1803,animal
n03635032_4232,nonanimal
n12305293_3457,nonanimal
n02085936_11482,animal
n02114367_4785,animal
n01630148_4052,animal
n03655720_198,nonanimal
n01560419_4133,animal
n12546617_4464,nonanimal
n03222857_2211,nonanimal
n01562265_16037,animal
n11978713_20263,nonanimal
n01884834_5972,animal
n04209613_5829,nonanimal
n03402941_12681,nonanimal
n02430748_2025,animal
n02340640_1591,animal
n02113023_6228,animal
n01879217_845,animal
n02454794_7813,animal
n02046171_4712,animal
n02889646_12796,nonanimal
n01839949_875,animal
n02302244_4698,animal
n02493509_6253,animal
n02122878_12026,animal
n01607812_4839,animal
n04204081_4557,nonanimal
n13142182_14392,nonanimal
n12315245_1343,nonanimal
n02618513_7361,animal
n02119359_5094,animal
n12643688_514,nonanimal
n02016066_2685,animal
n02640857_6523,animal
n02657694_12801,animal
n01598271_639,animal
n01944812_481,animal
n11677485_15,nonanimal
n11616486_2823,nonanimal
n02076402_1036,animal
n11711289_9131,nonanimal
n02227604_762,animal
n12666369_12058,nonanimal
n04338963_9534,nonanimal
n01884104_640,animal
n01892030_26,animal
n02432983_22751,animal
n04112252_3538,nonanimal
n04146614_1518,nonanimal
n04275175_987,nonanimal
n02112706_1995,animal
n01839086_1432,animal
n01887787_11771,animal
n04035748_379,nonanimal
n04311004_3234,nonanimal
n02390258_284,animal
